"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"1567.0","3047.0","4533.0","297.0","40.0","3387.0","2604.0","8.0","615.0","207.0"
"1725.0","3483.0","5195.0","276.0","36.0","4070.0","2812.0","7.0","688.0","256.0"
"2753.0","5143.0","7580.0","452.0","60.0","5284.0","4203.0","13.0","905.0","361.0"
"2962.0","5707.0","8185.0","457.0","67.0","4879.0","4259.0","13.0","1052.0","395.0"
"2768.0","5405.0","6819.0","425.0","79.0","4638.0","3930.0","4.0","1082.0","367.0"
"2822.0","6481.0","7545.0","421.0","102.0","4924.0","4258.0","7.0","1091.0","346.0"
"2810.0","10895.0","7090.0","401.0","92.0","4351.0","4282.0","8.0","966.0","375.0"
"1732.0","6863.0","4763.0","324.0","61.0","3398.0","2626.0","5.0","654.0","242.0"
"1764.0","4417.0","4939.0","300.0","41.0","4335.0","2811.0","12.0","691.0","272.0"
"2829.0","5985.0","7723.0","491.0","71.0","5296.0","4120.0","15.0","1082.0","450.0"
"2979.0","5804.0","7032.0","409.0","59.0","4847.0","4195.0","10.0","1044.0","380.0"
"2958.0","5457.0","6782.0","440.0","66.0","4877.0","4168.0","7.0","1039.0","356.0"
"29373.0","5661.0","6942.0","523.0","58.0","4853.0","4027.0","13.0","1065.0","455.0"
"2414.0","4776.0","6181.0","403.0","54.0","4292.0","3436.0","10.0","868.0","372.0"
"1818.0","3585.0","5627.0","303.0","47.0","3557.0","2931.0","12.0","634.0","233.0"
"1766.0","3456.0","4838.0","298.0","40.0","3798.0","2819.0","7.0","662.0","275.0"
"2765.0","5248.0","6570.0","440.0","81.0","4755.0","3965.0","16.0","981.0","390.0"
"2764.0","5415.0","6475.0","412.0","121.0","4538.0","3971.0","6.0","1067.0","395.0"
"2857.0","5228.0","6361.0","396.0","68.0","5142.0","3944.0","14.0","1016.0","400.0"
"2529.0","4824.0","6892.0","377.0","68.0","4447.0","3618.0","14.0","945.0","332.0"
"2078.0","3869.0","6089.0","337.0","62.0","3744.0","3083.0","8.0","763.0","296.0"
"1554.0","3191.0","5005.0","268.0","32.0","3515.0","2582.0","7.0","609.0","220.0"
"1473.0","2939.0","4671.0","246.0","45.0","3522.0","2526.0","13.0","545.0","258.0"
"2506.0","4529.0","7605.0","363.0","58.0","4472.0","3701.0","9.0","847.0","340.0"
"5614.0","5752.0","7089.0","449.0","79.0","4974.0","4598.0","8.0","973.0","461.0"
"3019.0","5317.0","6788.0","356.0","70.0","4767.0","4041.0","14.0","924.0","395.0"
"2962.0","5485.0","7138.0","460.0","77.0","4802.0","4344.0","12.0","971.0","367.0"
"2159.0","4249.0","5573.0","325.0","65.0","4276.0","3216.0","15.0","770.0","339.0"
"1680.0","3109.0","4129.0","270.0","58.0","3368.0","2490.0","15.0","616.0","274.0"
"1769.0","3384.0","4374.0","308.0","42.0","3710.0","2655.0","14.0","648.0","289.0"
"2460.0","5327.0","5817.0","417.0","69.0","4412.0","3580.0","18.0","921.0","343.0"
"2779.0","5592.0","6793.0","407.0","85.0","4889.0","4095.0","12.0","972.0","367.0"
"2868.0","5730.0","6534.0","416.0","83.0","4767.0","3994.0","12.0","1004.0","344.0"
"2660.0","5560.0","6462.0","477.0","80.0","4621.0","3972.0","27.0","976.0","378.0"
"2528.0","5012.0","6101.0","383.0","71.0","4350.0","3669.0","8.0","986.0","324.0"
"1741.0","3472.0","4822.0","337.0","44.0","3589.0","2683.0","8.0","625.0","262.0"
"1764.0","3455.0","4750.0","320.0","61.0","3661.0","2958.0","13.0","628.0","279.0"
"2626.0","5829.0","6214.0","477.0","70.0","4854.0","4219.0","11.0","932.0","415.0"
"2843.0","5898.0","6854.0","477.0","104.0","4863.0","4196.0","19.0","1071.0","386.0"
"2759.0","5666.0","6712.0","412.0","109.0","4833.0","3978.0","17.0","993.0","379.0"
"2692.0","5339.0","6946.0","470.0","105.0","4516.0","3732.0","27.0","933.0","318.0"
"2359.0","4778.0","6425.0","364.0","103.0","3947.0","3298.0","33.0","891.0","304.0"
"1666.0","3457.0","4965.0","287.0","63.0","3570.0","2547.0","3.0","709.0","220.0"
"1717.0","3697.0","4968.0","277.0","65.0","3907.0","2765.0","13.0","767.0","303.0"
"2726.0","5436.0","7089.0","404.0","191.0","4789.0","3859.0","12.0","1069.0","355.0"
"3054.0","5880.0","8484.0","392.0","135.0","4642.0","4067.0","7.0","1047.0","438.0"
"2898.0","5877.0","7469.0","446.0","332.0","4737.0","4123.0","14.0","1088.0","422.0"
"2883.0","5803.0","7344.0","463.0","413.0","4505.0","4025.0","12.0","1095.0","403.0"
"2355.0","4924.0","6293.0","388.0","94.0","4177.0","3431.0","8.0","945.0","316.0"
"1599.0","3461.0","4582.0","296.0","35.0","3249.0","2514.0","9.0","619.0","238.0"
"1784.0","3645.0","4685.0","334.0","60.0","3759.0","2711.0","9.0","649.0","295.0"
"2596.0","5368.0","6927.0","438.0","70.0","4842.0","3889.0","17.0","969.0","360.0"
"2823.0","5406.0","7915.0","408.0","72.0","4419.0","4011.0","8.0","976.0","395.0"
