"date","Hepatitis","Hepatitis_A#Virology","Jaundice","Hepatitis_B","Hepatitis_C","Hepatitis_A_vaccine","Viral_hepatitis","World_Hepatitis_Day","Picornavirales","Hepatitis_A"
"2011-02-25","3597.0","2434.0","4315.0","4358.0","6489.0","236.0","323.0","41.0","12.0","2434.0"
"2011-02-26","2943.0","1689.0","3990.0","3339.0","4546.0","129.0","338.0","31.0","18.0","1689.0"
"2011-02-27","3221.0","1938.0","4382.0","3643.0","4874.0","152.0","289.0","39.0","16.0","1938.0"
"2011-02-28","4769.0","2776.0","4748.0","5016.0","6524.0","248.0","454.0","52.0","19.0","2776.0"
"2011-03-01","4462.0","2865.0","4654.0","5292.0","6606.0","248.0","486.0","68.0","12.0","2865.0"
"2011-03-02","4357.0","2885.0","4996.0","5451.0","6845.0","260.0","405.0","43.0","13.0","2885.0"
"2011-03-03","4175.0","2690.0","4583.0","5372.0","6651.0","261.0","484.0","49.0","9.0","2690.0"
"2011-03-04","3649.0","2510.0","4140.0","4887.0","6445.0","215.0","382.0","45.0","13.0","2510.0"
"2011-03-05","2900.0","1799.0","3391.0","3325.0","4581.0","158.0","273.0","29.0","11.0","1799.0"
"2011-03-06","2989.0","1884.0","3905.0","3499.0","4693.0","165.0","360.0","41.0","13.0","1884.0"
"2011-03-07","4044.0","2841.0","4936.0","5113.0","6377.0","243.0","459.0","73.0","8.0","2841.0"
"2011-03-08","4193.0","2893.0","4556.0","5125.0","6421.0","246.0","434.0","78.0","13.0","2893.0"
"2011-03-09","4095.0","3005.0","4620.0","5502.0","6709.0","280.0","478.0","71.0","16.0","3005.0"
"2011-03-10","4123.0","2812.0","4923.0","5331.0","7195.0","236.0","492.0","56.0","14.0","2812.0"
"2011-03-11","3593.0","2306.0","4075.0","4473.0","6216.0","196.0","344.0","52.0","9.0","2306.0"
"2011-03-12","2684.0","1654.0","3348.0","3044.0","4362.0","135.0","307.0","57.0","7.0","1654.0"
"2011-03-13","2836.0","1847.0","3745.0","3478.0","4734.0","126.0","319.0","39.0","12.0","1847.0"
"2011-03-14","3924.0","2687.0","4767.0","4803.0","6205.0","206.0","404.0","57.0","17.0","2687.0"
"2011-03-15","4052.0","2750.0","5325.0","5154.0","6371.0","256.0","434.0","61.0","22.0","2750.0"
"2011-03-16","4161.0","2845.0","5059.0","5050.0","6629.0","393.0","467.0","64.0","10.0","2845.0"
"2011-03-17","3945.0","3090.0","4671.0","4859.0","6837.0","233.0","425.0","66.0","14.0","3090.0"
"2011-03-18","3337.0","2508.0","3870.0","4398.0","6537.0","184.0","401.0","56.0","10.0","2508.0"
"2011-03-19","2613.0","1802.0","3505.0","3303.0","4692.0","129.0","325.0","33.0","6.0","1802.0"
"2011-03-20","2620.0","1789.0","3555.0","3113.0","4336.0","136.0","307.0","41.0","5.0","1789.0"
"2011-03-21","3880.0","2873.0","4676.0","4905.0","6418.0","234.0","430.0","60.0","6.0","2873.0"
"2011-03-22","4130.0","3088.0","4854.0","5115.0","6642.0","246.0","472.0","52.0","13.0","3088.0"
"2011-03-23","4225.0","3049.0","5010.0","5340.0","6587.0","256.0","480.0","86.0","7.0","3049.0"
"2011-03-24","4090.0","2644.0","4910.0","5010.0","8001.0","250.0","485.0","76.0","4.0","2644.0"
"2011-03-25","3451.0","2456.0","4032.0","4405.0","9884.0","183.0","403.0","66.0","8.0","2456.0"
"2011-03-26","2767.0","1707.0","3473.0","3197.0","4999.0","116.0","289.0","43.0","8.0","1707.0"
"2011-03-27","2848.0","1776.0","3854.0","3294.0","4954.0","131.0","341.0","45.0","11.0","1776.0"
"2011-03-28","4150.0","2742.0","5046.0","5246.0","6435.0","228.0","441.0","51.0","13.0","2742.0"
"2011-03-29","4053.0","2824.0","4787.0","5117.0","6975.0","223.0","473.0","58.0","9.0","2824.0"
"2011-03-30","4180.0","2833.0","4579.0","5393.0","7261.0","238.0","465.0","67.0","25.0","2833.0"
"2011-03-31","4112.0","2994.0","4640.0","5661.0","8673.0","214.0","452.0","67.0","13.0","2994.0"
"2011-04-01","3448.0","2532.0","3907.0","4554.0","7123.0","193.0","365.0","63.0","29.0","2532.0"
"2011-04-02","2604.0","1567.0","3387.0","3047.0","4533.0","120.0","297.0","40.0","8.0","1567.0"
"2011-04-03","2812.0","1725.0","4070.0","3483.0","5195.0","111.0","276.0","36.0","7.0","1725.0"
"2011-04-04","4203.0","2753.0","5284.0","5143.0","7580.0","254.0","452.0","60.0","13.0","2753.0"
"2011-04-05","4259.0","2962.0","4879.0","5707.0","8185.0","222.0","457.0","67.0","13.0","2962.0"
"2011-04-06","3930.0","2768.0","4638.0","5405.0","6819.0","237.0","425.0","79.0","4.0","2768.0"
"2011-04-07","4258.0","2822.0","4924.0","6481.0","7545.0","204.0","421.0","102.0","7.0","2822.0"
